case_id,title,symptom,topology_note,show_outputs,expected_fault,osi_layer,concept,severity,expected_evidence,expected_next_command,expected_fix,verification_command,difficulty,status,source,created_at,updated_at,created_by
MASK-001,"One PC can't reach any teammate, others fine","PC-D can ping its default gateway but cannot ping any other PC in the same office, including ones plugged into the same switch. All other PCs on that switch communicate normally.",The office subnet is 192.168.5.0/24 (mask 255.255.255.0). All PCs including PC-D connect to SW1 in VLAN 5.,"PC-D> ipconfig
IP Address..........: 192.168.5.40
Subnet Mask..........: 255.255.255.192
Default Gateway......: 192.168.5.1

PC-E> ipconfig
IP Address..........: 192.168.5.41
Subnet Mask..........: 255.255.255.0
Default Gateway......: 192.168.5.1
","PC-D uses mask 255.255.255.192 (/26) while the rest of the subnet uses 255.255.255.0 (/24). With a /26 mask, PC-D computes PC-E (192.168.5.41) as being on a different network (192.168.5.0/26 vs 192.168.5.64/26 boundary confusion), so it sends peer traffic to the gateway instead of ARPing directly, and the gateway has no route back for that mismatched logic.",Layer 3,Subnetting,Medium,PC-D's subnet mask (255.255.255.192) does not match PC-E's subnet mask (255.255.255.0) despite both being on the same physical VLAN and IP range.,ipconfig on two more PCs on the same switch to confirm the mask standard,Correct PC-D's subnet mask to 255.255.255.0,ping between PC-D and PC-E after the mask correction,Medium,active,seed,2026-06-01T00:00:00Z,2026-06-01T00:00:00Z,NetSage AI Course Dataset
DUPIP-001,"Intermittent connectivity, Windows shows IP conflict warning","PC-F intermittently loses network connectivity, and its taskbar occasionally shows a Windows message about an IP address conflict with another device on the network.","PC-F was statically configured at 10.10.10.20. Printer1 was also statically configured, by a different technician, without checking the DHCP exclusion range.","PC-F> ipconfig
IP Address..........: 10.10.10.20

R1# show ip arp | include 10.10.10.20
Internet  10.10.10.20        4   00E0.1234.ABCD  ARPA   GigabitEthernet0/0
Internet  10.10.10.20        1   00E0.5678.EF01  ARPA   GigabitEthernet0/0
","Two different MAC addresses are both mapped to 10.10.10.20 in the ARP table, confirming a duplicate IP address conflict between PC-F and Printer1.",Layer 3,IP Addressing,Medium,"show ip arp lists two distinct MAC addresses both claiming 10.10.10.20, which is only possible with a duplicate static assignment.",show ip dhcp conflict; check Printer1's configured static IP,"Reassign Printer1 to an unused address outside the DHCP scope, e.g. 10.10.10.240, and add it to ip dhcp excluded-address",show ip arp; confirm only one MAC maps to 10.10.10.20,Medium,active,seed,2026-06-01T00:00:00Z,2026-06-01T00:00:00Z,NetSage AI Course Dataset
VLAN-002,Newly wired desk has no network access at all,"A newly wired desk plugged into SW4 Fa0/12 gets no link light response from DHCP and cannot ping anything, including the switch's own management IP.","Fa0/12 was configured for the new Marketing VLAN, VLAN 40, which was supposed to be created as part of the same change.","SW4# show vlan brief
VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------------
1    default                          active    Fa0/1, Fa0/2
10   Sales                            active    Fa0/3, Fa0/4

SW4# show interfaces fa0/12 switchport
Name: Fa0/12
Administrative Mode: static access
Access Mode VLAN: 40 (Inactive)
","Fa0/12 is assigned to VLAN 40, but VLAN 40 was never created with 'vlan 40' in global config - it does not appear in show vlan brief at all, so the port shows the access VLAN as 'Inactive' and cannot forward traffic.",Layer 2,VLAN,High,"show vlan brief lists only VLAN 1 and VLAN 10 - VLAN 40 is absent. show interfaces fa0/12 switchport confirms the port's assigned VLAN 40 is marked (Inactive), the standard symptom of a port assigned to a non-existent VLAN.",show running-config | section vlan,vlan 40; name Marketing (then verify Fa0/12 shows Access Mode VLAN: 40 active),show vlan brief; ipconfig /renew on the desk PC,Easy,active,seed,2026-06-01T00:00:00Z,2026-06-01T00:00:00Z,NetSage AI Course Dataset
TRUNK-002,"Random VLAN 1 traffic bleeding, CDP native VLAN mismatch warning","Console on SW1 periodically logs a '%CDP-4-NATIVE_VLAN_MISMATCH' message for Gi0/2, and untagged/VLAN 1 management traffic occasionally appears where it shouldn't.","SW1 Gi0/2 trunks to SW5 Gi0/1, carrying VLANs 1,10,20.","SW1# show interfaces trunk
Port        Mode      Encapsulation  Status       Native vlan
Gi0/2       on        802.1q         trunking     1

SW5# show interfaces trunk
Port        Mode      Encapsulation  Status       Native vlan
Gi0/1       on        802.1q         trunking     99
","SW1's Gi0/2 uses native VLAN 1 while SW5's Gi0/1 uses native VLAN 99 on the same trunk. A native VLAN mismatch causes untagged frames to be interpreted as belonging to different VLANs on each end, leaking traffic between VLAN 1 and VLAN 99.",Layer 2,Trunking,Medium,show interfaces trunk on SW1 reports native vlan 1 for Gi0/2; the same trunk's other end on SW5 reports native vlan 99 for Gi0/1 - the two ends disagree on the native VLAN.,show run interface gi0/2 on both switches to see the native vlan command explicitly,switchport trunk native vlan 1 on SW5 Gi0/1 (align both ends to the same native VLAN),show interfaces trunk on both switches; confirm CDP native VLAN mismatch log clears,Medium,active,seed,2026-06-01T00:00:00Z,2026-06-01T00:00:00Z,NetSage AI Course Dataset
VLAN-003,Server unreachable from its own VLAN's users after a cable move,"Server2 was recently re-patched to a different switch port during a rack cleanup. Since then, no VLAN 10 client can reach it, though the server itself reports 'connected' at Layer 1.",Server2 (10.10.10.60) should be on a VLAN 10 access port. It was re-patched into SW2 Fa0/9.,"SW2# show interfaces fa0/9 switchport
Name: Fa0/9
Administrative Mode: static access
Access Mode VLAN: 30 (Guest)

SW2# show mac address-table interface fa0/9
Vlan    Mac Address       Type        Ports
30      00d0.bcaa.1111    DYNAMIC     Fa0/9
","Fa0/9, the port Server2 was re-patched into, is an access port in VLAN 30 (Guest), not VLAN 10. Server2's MAC is learned in VLAN 30, confirming it is physically connected in the wrong VLAN.",Layer 2,VLAN,High,"show interfaces fa0/9 switchport shows Access Mode VLAN 30; show mac address-table interface fa0/9 confirms Server2's MAC was learned on VLAN 30, not VLAN 10.","show vlan brief to find a free VLAN 10 port, or plan to re-tag Fa0/9",switchport access vlan 10 on interface Fa0/9 (or re-patch to a known VLAN 10 port),show mac address-table interface fa0/9; ping Server2 from a VLAN 10 client,Easy,active,seed,2026-06-01T00:00:00Z,2026-06-01T00:00:00Z,NetSage AI Course Dataset
INTERVLAN-001,VLAN 30 reaches gateway but not VLAN 10 server,"PC in VLAN 30 receives an IP address and can ping its default gateway, but cannot reach the server in VLAN 10.",PC30 is connected to SW1 Fa0/5 (VLAN 30). SW1 connects to R1 using Gi0/1 as an 802.1Q trunk. Server10 (10.10.10.50) is connected to SW2 in VLAN 10. R1 uses router-on-a-stick with subinterfaces for inter-VLAN routing.,"R1# show ip interface brief
Interface                 IP-Address      OK? Method Status    Protocol
GigabitEthernet0/1        unassigned      YES unset  up        up
GigabitEthernet0/1.10     unassigned      YES manual up        up
GigabitEthernet0/1.30     10.10.30.1      YES manual up        up

R1# show run interface gi0/1.10
interface GigabitEthernet0/1.10
 encapsulation dot1Q 10

R1# show interfaces trunk
(run on SW1)
Port    Mode  Encapsulation  Status     Native vlan
Gi0/1   on    802.1q         trunking   1
","Subinterface Gi0/1.10 has 'encapsulation dot1Q 10' but no IP address configured (shown as unassigned), so R1 has no gateway for VLAN 10 and cannot route between VLAN 30 and VLAN 10, even though the trunk to SW1 and VLAN 30's subinterface are both fine.",Layer 3,Inter-VLAN Routing,High,"show ip interface brief shows Gi0/1.10 as 'unassigned' for its IP address while Gi0/1.30 correctly has 10.10.30.1; the trunk itself is confirmed up, isolating the fault to the missing VLAN 10 subinterface IP.",show vlan brief on SW2 to confirm Server10 is actually in VLAN 10,interface GigabitEthernet0/1.10; ip address 10.10.10.1 255.255.255.0,show ip interface brief; ping 10.10.10.50 from PC30,Medium,active,seed,2026-06-01T00:00:00Z,2026-06-01T00:00:00Z,NetSage AI Course Dataset
WIFI-001,Laptops cannot see the office Wi-Fi network at all,"No laptops in the east wing can see 'CorpWiFi' in their available network list, though they could last week.","AP-East is an autonomous access point wired to SW3 Fa0/4, broadcasting SSID CorpWiFi on VLAN 10.","AP-East# show running-config | section dot11 ssid
dot11 ssid CorpWiFi
 vlan 10
 authentication open
 guest-mode disable

AP-East# show interfaces dot11radio 0
Dot11Radio0 is administratively down, line protocol is down
","The SSID CorpWiFi is configured correctly, but the radio interface Dot11Radio0 is administratively down, so the AP is not transmitting at all - no client can see the SSID.",Layer 1,Wireless,Critical,"SSID configuration for CorpWiFi looks correct with guest-mode disable and vlan 10, but show interfaces dot11radio 0 reports the radio itself as administratively down.",show interfaces fa0/4 on SW3 to confirm the AP's wired uplink is up,interface Dot11Radio0; no shutdown,show interfaces dot11radio 0; scan for CorpWiFi from a laptop,Easy,active,seed,2026-06-01T00:00:00Z,2026-06-01T00:00:00Z,NetSage AI Course Dataset
WIFI-002,Guest Wi-Fi users cannot print to the lobby printer,"Guests on the GuestWiFi SSID can browse the internet fine but cannot discover or print to LobbyPrinter (10.10.99.20), which is also on the guest VLAN.",GuestWiFi maps to VLAN 99. LobbyPrinter is wired into VLAN 99 on SW6. Client isolation (peer-to-peer blocking) was enabled on the guest WLAN for security.,"WLC# show wlan 3
WLAN Identifier.................................. 3
Profile Name...................................... GuestWiFi
P2P Blocking Action............................... Drop
Interface......................................... vlan99
","P2P Blocking Action is set to 'Drop' on the GuestWiFi WLAN, which intentionally blocks client-to-client (and client-to-device) traffic within the guest VLAN, including to LobbyPrinter. This is a working-as-designed security feature, not a fault, but it is the root cause of the symptom.",Layer 2,Wireless,Low,"show wlan 3 confirms P2P Blocking Action is set to Drop on the GuestWiFi profile bound to vlan99, which is the same VLAN as LobbyPrinter.",show wlan 3 (already conclusive); confirm with stakeholders whether printing should be allowed,"If printing is a desired guest feature: set P2P Blocking Action to Allow, or move the printer to a small dedicated 'guest services' VLAN excluded from isolation.",Attempt print discovery from a guest client after the policy change,Medium,active,seed,2026-06-01T00:00:00Z,2026-06-01T00:00:00Z,NetSage AI Course Dataset
ROUTE-002,Entire company can reach internal sites but not the internet,"All internal traffic (site to site) works normally, but no one anywhere in the company can reach any external website or public IP address.",EdgeR connects the internal network to the ISP router at 203.0.113.1 via Gi0/2.,"EdgeR# show ip route
Gateway of last resort is not set

     10.0.0.0/8 is variably subnetted, 6 subnets, 2 masks
        via OSPF, internal networks
     203.0.113.0/30 is directly connected, GigabitEthernet0/2

EdgeR# ping 203.0.113.1
!!!!!
Success rate is 100 percent
","EdgeR has no default route (Gateway of last resort is not set). Internal OSPF routes exist and the link to the ISP is up, but there is no 0.0.0.0/0 route pointing to the ISP, so any destination outside the known internal networks is unroutable.",Layer 3,Routing,Critical,"show ip route explicitly states 'Gateway of last resort is not set' and lists no 0.0.0.0/0 entry, while the ISP-facing interface and next hop (203.0.113.1) are confirmed reachable by ping.",show run | include ip route (confirm no static default route exists anywhere),ip route 0.0.0.0 0.0.0.0 203.0.113.1,show ip route; ping 8.8.8.8 from an internal host,Easy,active,seed,2026-06-01T00:00:00Z,2026-06-01T00:00:00Z,NetSage AI Course Dataset
GW-002,Whole VLAN 20 lost external access after DHCP pool edit,Every PC in VLAN 20 can reach each other but none can reach any other VLAN or the internet. This started right after an admin edited the DHCP pool to add a new DNS server.,"R1 Gi0/0.20 is 10.10.20.1/24, the correct gateway for VLAN 20. R1 is also the DHCP server for VLAN 20.","R1# show run | section dhcp pool VLAN20
ip dhcp pool VLAN20
 network 10.10.20.0 255.255.255.0
 default-router 10.10.20.100
 dns-server 8.8.8.8

PC-G> ipconfig
IP Address..........: 10.10.20.55
Default Gateway......: 10.10.20.100
","The DHCP pool's default-router was mistakenly set to 10.10.20.100 instead of 10.10.20.1 (R1's real subinterface IP). No device answers ARP for .100, so nothing beyond the local VLAN is reachable for any DHCP client.",Layer 3,Default Gateway,High,"The dhcp pool VLAN20 config shows default-router 10.10.20.100; PC-G's ipconfig confirms it received that as its gateway, but R1's actual subinterface address is 10.10.20.1, a mismatch.",show ip interface brief on R1 to confirm the real subinterface address,"Edit dhcp pool VLAN20: default-router 10.10.20.1, then have clients renew",ipconfig /renew on PC-G; ping 10.10.20.1; ping 8.8.8.8,Easy,active,seed,2026-06-01T00:00:00Z,2026-06-01T00:00:00Z,NetSage AI Course Dataset
DHCP-002,Only the first few PCs each morning get an IP address,"Every morning, the first handful of PCs to boot get IP addresses normally, but PCs booted afterward get APIPA addresses until the office is rebooted overnight again.",VLAN 10 has roughly 40 PCs. The DHCP pool for VLAN 10 covers 10.10.10.0/24.,"R1# show ip dhcp pool VLAN10
Pool VLAN10 :
 Network: 10.10.10.0/24
 Leased addresses: 6

R1# show run | section ip dhcp excluded-address
ip dhcp excluded-address 10.10.10.1 10.10.10.250
","The excluded-address range 10.10.10.1-10.10.10.250 removes nearly the entire /24 from the usable DHCP pool, leaving only addresses .251-.254 (a handful) available - explaining why only a few PCs can lease an address before the pool is exhausted.",Layer 7,DHCP,High,"show run confirms ip dhcp excluded-address 10.10.10.1 10.10.10.250, which excludes 250 of 254 usable addresses in the /24 pool, consistent with only a small number of leases succeeding.",show ip dhcp binding to confirm exactly which addresses are currently leased,"Narrow the exclusion to only the addresses actually reserved for static devices, e.g. 'ip dhcp excluded-address 10.10.10.1 10.10.10.10'",show ip dhcp pool VLAN10; ipconfig /renew on a previously-failing PC,Medium,active,seed,2026-06-01T00:00:00Z,2026-06-01T00:00:00Z,NetSage AI Course Dataset
DNS-002,Internal hostname lookups fail company-wide after router swap,"After R2 replaced a failed router, no internal hostnames resolve anywhere in the company, though external domains like google.com resolve fine.","R2 is configured as a DNS relay ('ip dns server') that forwards queries to the real internal DNS host, Server1 (10.10.10.53).","R2# show run | include ip name-server
ip name-server 8.8.8.8

R2# show run | include ip dns server
ip dns server
","R2's DNS relay is configured with ip name-server 8.8.8.8 only - the internal authoritative DNS host Server1 (10.10.10.53) was never added as a name-server, so R2 forwards every query, including internal-only hostnames, to the public resolver, which has no record of them.",Layer 7,DNS,Medium,"ip name-server is set only to 8.8.8.8. There is no entry for 10.10.10.53 (Server1, the internal DNS host), which explains why external names resolve but internal ones do not.",ping 10.10.10.53 from R2 to confirm Server1 itself is reachable,ip name-server 10.10.10.53 8.8.8.8,nslookup an internal hostname from a client PC,Medium,active,seed,2026-06-01T00:00:00Z,2026-06-01T00:00:00Z,NetSage AI Course Dataset
ACL-002,"Intranet web portal unreachable, but file share on same server works","Users cannot load the intranet web portal at http://10.10.10.80, but can still access a file share (SMB) on the exact same server without issue.",R1 applies an extended ACL WEB-FILTER inbound on Gi0/0 (the users' side) intended to block only outbound P2P ports.,"R1# show access-lists WEB-FILTER
Extended IP access list WEB-FILTER
    10 deny tcp any any eq 80
    20 deny tcp any any eq 6881
    30 permit ip any any

R1# show run | section interface Gi0/0
interface GigabitEthernet0/0
 ip access-group WEB-FILTER in
","Line 10 of WEB-FILTER denies all TCP port 80 (HTTP) traffic, which was meant to only block port 6881 (P2P/BitTorrent). This blocks the intranet portal's HTTP traffic while SMB (port 445) is unaffected since it isn't matched by either deny line.",Layer 4,ACL,Medium,"WEB-FILTER line 10 explicitly denies tcp any any eq 80, applied inbound on the users' interface Gi0/0; SMB (port 445) is not referenced by the ACL, consistent with file-share access still working.",show access-lists WEB-FILTER (already conclusive),Remove or renumber the 'deny tcp any any eq 80' line so only port 6881 is denied,show access-lists WEB-FILTER for hit counters; browse to http://10.10.10.80,Easy,active,seed,2026-06-01T00:00:00Z,2026-06-01T00:00:00Z,NetSage AI Course Dataset
